2 5e-07  8.5e-06
4 5e-07  1.375e-05
8 1e-06  1.825e-05
16 2e-06  4.4e-05
32 4.25e-06  5.275e-05
64 8.25e-06  8.875e-05
128 1.85e-05  0.000103
256 3.9e-05  0.0001815
512 8.65e-05  0.00034
1024 0.0001945  0.00063725
2048 0.0005215  0.00124775
4096 0.00083625  0.00206275
8192 0.00155625  0.003634
16384 0.00325575  0.0069025
32768 0.00835825  0.016828
65536 0.0158065  0.0210348
131072 0.0353195  0.0546217
262144 0.0640962  0.094342
524288 0.136269  0.166289
1048576 0.289291  0.377961
2097152 0.641394  0.852755
4194304 1.22555  1.55171
8388608 2.64758  2.24183
16777216 5.39788  6.39759
33554432 10.8375  11.845
